Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;;2024T4;148.018
Total Nacional;;2024T3;150.541
Total Nacional;;2024T2;151.379
Total Nacional;;2024T1;149.962
Total Nacional;;2023T4;139.314
Total Nacional;;2023T3;155.797
Total Nacional;;2023T2;148.091
Total Nacional;;2023T1;149.645
Total Nacional;;2022T4;140.517
Total Nacional;;2022T3;143.876
Total Nacional;;2022T2;145.053
Total Nacional;;2022T1;133.988
Total Nacional;;2021T4;109.085
Total Nacional;;2021T3;118.888
Total Nacional;;2021T2;119.212
Total Nacional;;2021T1;100.041
Total Nacional;;2020T4;76.007
Total Nacional;;2020T3;86.750
Total Nacional;;2020T2;74.346
Total Nacional;;2020T1;103.005
Total Nacional;;2019T4;101.009
Total Nacional;;2019T3;104.182
Total Nacional;;2019T2;107.531
Total Nacional;;2019T1;98.745
Total Nacional;;2018T4;91.101
Total Nacional;;2018T3;96.887
Total Nacional;;2018T2;98.493
Total Nacional;;2018T1;101.512
Total Nacional;;2017T4;74.737
Total Nacional;;2017T3;82.546
Total Nacional;;2017T2;82.826
Total Nacional;;2017T1;78.356
Total Nacional;;2016T4;67.464
Total Nacional;;2016T3;68.057
Total Nacional;;2016T2;75.852
Total Nacional;;2016T1;69.028
Total Nacional;;2015T4;58.868
Total Nacional;;2015T3;62.172
Total Nacional;;2015T2;60.103
Total Nacional;;2015T1;58.707
Total Nacional;;2014T4;56.269
Total Nacional;;2014T3;57.660
Total Nacional;;2014T2;55.238
Total Nacional;;2014T1;54.965
Total Nacional;;2013T4;53.909
Total Nacional;;2013T3;72.790
Total Nacional;01 Andalucía;2024T4;23.813
Total Nacional;01 Andalucía;2024T3;21.694
Total Nacional;01 Andalucía;2024T2;20.343
Total Nacional;01 Andalucía;2024T1;20.234
Total Nacional;01 Andalucía;2023T4;19.212
Total Nacional;01 Andalucía;2023T3;22.425
Total Nacional;01 Andalucía;2023T2;22.402
Total Nacional;01 Andalucía;2023T1;17.839
Total Nacional;01 Andalucía;2022T4;22.184
Total Nacional;01 Andalucía;2022T3;18.582
Total Nacional;01 Andalucía;2022T2;23.231
Total Nacional;01 Andalucía;2022T1;16.095
Total Nacional;01 Andalucía;2021T4;19.007
Total Nacional;01 Andalucía;2021T3;17.904
Total Nacional;01 Andalucía;2021T2;16.561
Total Nacional;01 Andalucía;2021T1;16.106
Total Nacional;01 Andalucía;2020T4;12.471
Total Nacional;01 Andalucía;2020T3;15.759
Total Nacional;01 Andalucía;2020T2;12.010
Total Nacional;01 Andalucía;2020T1;11.951
Total Nacional;01 Andalucía;2019T4;16.114
Total Nacional;01 Andalucía;2019T3;13.571
Total Nacional;01 Andalucía;2019T2;13.377
Total Nacional;01 Andalucía;2019T1;10.613
Total Nacional;01 Andalucía;2018T4;9.878
Total Nacional;01 Andalucía;2018T3;11.822
Total Nacional;01 Andalucía;2018T2;11.657
Total Nacional;01 Andalucía;2018T1;13.180
Total Nacional;01 Andalucía;2017T4;7.547
Total Nacional;01 Andalucía;2017T3;10.199
Total Nacional;01 Andalucía;2017T2;9.648
Total Nacional;01 Andalucía;2017T1;8.369
Total Nacional;01 Andalucía;2016T4;8.131
Total Nacional;01 Andalucía;2016T3;8.398
Total Nacional;01 Andalucía;2016T2;6.613
Total Nacional;01 Andalucía;2016T1;8.945
Total Nacional;01 Andalucía;2015T4;7.303
Total Nacional;01 Andalucía;2015T3;8.275
Total Nacional;01 Andalucía;2015T2;7.040
Total Nacional;01 Andalucía;2015T1;6.287
Total Nacional;01 Andalucía;2014T4;8.599
Total Nacional;01 Andalucía;2014T3;10.496
Total Nacional;01 Andalucía;2014T2;9.060
Total Nacional;01 Andalucía;2014T1;7.510
Total Nacional;01 Andalucía;2013T4;8.920
Total Nacional;01 Andalucía;2013T3;10.111
Total Nacional;02 Aragón;2024T4;5.186
Total Nacional;02 Aragón;2024T3;5.256
Total Nacional;02 Aragón;2024T2;4.704
Total Nacional;02 Aragón;2024T1;4.436
Total Nacional;02 Aragón;2023T4;4.595
Total Nacional;02 Aragón;2023T3;3.810
Total Nacional;02 Aragón;2023T2;4.448
Total Nacional;02 Aragón;2023T1;3.591
Total Nacional;02 Aragón;2022T4;3.865
Total Nacional;02 Aragón;2022T3;3.331
Total Nacional;02 Aragón;2022T2;3.552
Total Nacional;02 Aragón;2022T1;4.570
Total Nacional;02 Aragón;2021T4;2.807
Total Nacional;02 Aragón;2021T3;3.718
Total Nacional;02 Aragón;2021T2;3.438
Total Nacional;02 Aragón;2021T1;3.569
Total Nacional;02 Aragón;2020T4;2.136
Total Nacional;02 Aragón;2020T3;3.030
Total Nacional;02 Aragón;2020T2;2.397
Total Nacional;02 Aragón;2020T1;2.009
Total Nacional;02 Aragón;2019T4;2.622
Total Nacional;02 Aragón;2019T3;2.200
Total Nacional;02 Aragón;2019T2;2.387
Total Nacional;02 Aragón;2019T1;2.118
Total Nacional;02 Aragón;2018T4;2.449
Total Nacional;02 Aragón;2018T3;2.610
Total Nacional;02 Aragón;2018T2;3.177
Total Nacional;02 Aragón;2018T1;2.192
Total Nacional;02 Aragón;2017T4;2.462
Total Nacional;02 Aragón;2017T3;1.897
Total Nacional;02 Aragón;2017T2;1.663
Total Nacional;02 Aragón;2017T1;1.492
Total Nacional;02 Aragón;2016T4;2.369
Total Nacional;02 Aragón;2016T3;1.979
Total Nacional;02 Aragón;2016T2;2.917
Total Nacional;02 Aragón;2016T1;2.196
Total Nacional;02 Aragón;2015T4;3.044
Total Nacional;02 Aragón;2015T3;1.988
Total Nacional;02 Aragón;2015T2;2.493
Total Nacional;02 Aragón;2015T1;1.356
Total Nacional;02 Aragón;2014T4;1.723
Total Nacional;02 Aragón;2014T3;2.108
Total Nacional;02 Aragón;2014T2;2.917
Total Nacional;02 Aragón;2014T1;1.664
Total Nacional;02 Aragón;2013T4;1.728
Total Nacional;02 Aragón;2013T3;1.939
Total Nacional;03 Asturias, Principado de;2024T4;1.635
Total Nacional;03 Asturias, Principado de;2024T3;2.394
Total Nacional;03 Asturias, Principado de;2024T2;1.850
Total Nacional;03 Asturias, Principado de;2024T1;1.452
Total Nacional;03 Asturias, Principado de;2023T4;1.701
Total Nacional;03 Asturias, Principado de;2023T3;1.682
Total Nacional;03 Asturias, Principado de;2023T2;1.326
Total Nacional;03 Asturias, Principado de;2023T1;1.677
Total Nacional;03 Asturias, Principado de;2022T4;2.740
Total Nacional;03 Asturias, Principado de;2022T3;2.856
Total Nacional;03 Asturias, Principado de;2022T2;1.514
Total Nacional;03 Asturias, Principado de;2022T1;1.977
Total Nacional;03 Asturias, Principado de;2021T4;3.374
Total Nacional;03 Asturias, Principado de;2021T3;3.167
Total Nacional;03 Asturias, Principado de;2021T2;2.945
Total Nacional;03 Asturias, Principado de;2021T1;1.051
Total Nacional;03 Asturias, Principado de;2020T4;1.431
Total Nacional;03 Asturias, Principado de;2020T3;2.050
Total Nacional;03 Asturias, Principado de;2020T2;1.025
Total Nacional;03 Asturias, Principado de;2020T1;1.263
Total Nacional;03 Asturias, Principado de;2019T4;2.193
Total Nacional;03 Asturias, Principado de;2019T3;1.234
Total Nacional;03 Asturias, Principado de;2019T2;1.076
Total Nacional;03 Asturias, Principado de;2019T1;1.170
Total Nacional;03 Asturias, Principado de;2018T4;1.076
Total Nacional;03 Asturias, Principado de;2018T3;1.109
Total Nacional;03 Asturias, Principado de;2018T2;1.007
Total Nacional;03 Asturias, Principado de;2018T1;821
Total Nacional;03 Asturias, Principado de;2017T4;990
Total Nacional;03 Asturias, Principado de;2017T3;1.105
Total Nacional;03 Asturias, Principado de;2017T2;858
Total Nacional;03 Asturias, Principado de;2017T1;863
Total Nacional;03 Asturias, Principado de;2016T4;770
Total Nacional;03 Asturias, Principado de;2016T3;579
Total Nacional;03 Asturias, Principado de;2016T2;537
Total Nacional;03 Asturias, Principado de;2016T1;853
Total Nacional;03 Asturias, Principado de;2015T4;410
Total Nacional;03 Asturias, Principado de;2015T3;516
Total Nacional;03 Asturias, Principado de;2015T2;740
Total Nacional;03 Asturias, Principado de;2015T1;723
Total Nacional;03 Asturias, Principado de;2014T4;762
Total Nacional;03 Asturias, Principado de;2014T3;777
Total Nacional;03 Asturias, Principado de;2014T2;1.325
Total Nacional;03 Asturias, Principado de;2014T1;466
Total Nacional;03 Asturias, Principado de;2013T4;847
Total Nacional;03 Asturias, Principado de;2013T3;1.067
Total Nacional;04 Balears, Illes;2024T4;3.117
Total Nacional;04 Balears, Illes;2024T3;3.908
Total Nacional;04 Balears, Illes;2024T2;3.177
Total Nacional;04 Balears, Illes;2024T1;3.559
Total Nacional;04 Balears, Illes;2023T4;1.438
Total Nacional;04 Balears, Illes;2023T3;1.621
Total Nacional;04 Balears, Illes;2023T2;3.608
Total Nacional;04 Balears, Illes;2023T1;2.502
Total Nacional;04 Balears, Illes;2022T4;3.051
Total Nacional;04 Balears, Illes;2022T3;2.253
Total Nacional;04 Balears, Illes;2022T2;4.039
Total Nacional;04 Balears, Illes;2022T1;3.908
Total Nacional;04 Balears, Illes;2021T4;1.079
Total Nacional;04 Balears, Illes;2021T3;1.266
Total Nacional;04 Balears, Illes;2021T2;1.322
Total Nacional;04 Balears, Illes;2021T1;878
Total Nacional;04 Balears, Illes;2020T4;353
Total Nacional;04 Balears, Illes;2020T3;1.114
Total Nacional;04 Balears, Illes;2020T2;2.316
Total Nacional;04 Balears, Illes;2020T1;1.551
Total Nacional;04 Balears, Illes;2019T4;1.624
Total Nacional;04 Balears, Illes;2019T3;2.015
Total Nacional;04 Balears, Illes;2019T2;2.535
Total Nacional;04 Balears, Illes;2019T1;1.789
Total Nacional;04 Balears, Illes;2018T4;687
Total Nacional;04 Balears, Illes;2018T3;1.650
Total Nacional;04 Balears, Illes;2018T2;1.682
Total Nacional;04 Balears, Illes;2018T1;2.158
Total Nacional;04 Balears, Illes;2017T4;1.163
Total Nacional;04 Balears, Illes;2017T3;997
Total Nacional;04 Balears, Illes;2017T2;1.247
Total Nacional;04 Balears, Illes;2017T1;2.949
Total Nacional;04 Balears, Illes;2016T4;789
Total Nacional;04 Balears, Illes;2016T3;1.053
Total Nacional;04 Balears, Illes;2016T2;2.787
Total Nacional;04 Balears, Illes;2016T1;1.881
Total Nacional;04 Balears, Illes;2015T4;1.866
Total Nacional;04 Balears, Illes;2015T3;1.324
Total Nacional;04 Balears, Illes;2015T2;2.188
Total Nacional;04 Balears, Illes;2015T1;2.008
Total Nacional;04 Balears, Illes;2014T4;773
Total Nacional;04 Balears, Illes;2014T3;1.177
Total Nacional;04 Balears, Illes;2014T2;1.399
Total Nacional;04 Balears, Illes;2014T1;1.577
Total Nacional;04 Balears, Illes;2013T4;761
Total Nacional;04 Balears, Illes;2013T3;989
Total Nacional;05 Canarias;2024T4;7.966
Total Nacional;05 Canarias;2024T3;8.951
Total Nacional;05 Canarias;2024T2;8.831
Total Nacional;05 Canarias;2024T1;7.524
Total Nacional;05 Canarias;2023T4;5.033
Total Nacional;05 Canarias;2023T3;6.561
Total Nacional;05 Canarias;2023T2;4.366
Total Nacional;05 Canarias;2023T1;7.201
Total Nacional;05 Canarias;2022T4;4.158
Total Nacional;05 Canarias;2022T3;5.631
Total Nacional;05 Canarias;2022T2;4.937
Total Nacional;05 Canarias;2022T1;4.272
Total Nacional;05 Canarias;2021T4;4.083
Total Nacional;05 Canarias;2021T3;3.358
Total Nacional;05 Canarias;2021T2;2.635
Total Nacional;05 Canarias;2021T1;3.423
Total Nacional;05 Canarias;2020T4;2.796
Total Nacional;05 Canarias;2020T3;3.340
Total Nacional;05 Canarias;2020T2;2.452
Total Nacional;05 Canarias;2020T1;4.702
Total Nacional;05 Canarias;2019T4;8.242
Total Nacional;05 Canarias;2019T3;3.203
Total Nacional;05 Canarias;2019T2;2.452
Total Nacional;05 Canarias;2019T1;4.290
Total Nacional;05 Canarias;2018T4;2.716
Total Nacional;05 Canarias;2018T3;1.780
Total Nacional;05 Canarias;2018T2;3.511
Total Nacional;05 Canarias;2018T1;3.178
Total Nacional;05 Canarias;2017T4;2.377
Total Nacional;05 Canarias;2017T3;2.018
Total Nacional;05 Canarias;2017T2;1.997
Total Nacional;05 Canarias;2017T1;2.019
Total Nacional;05 Canarias;2016T4;3.301
Total Nacional;05 Canarias;2016T3;2.625
Total Nacional;05 Canarias;2016T2;3.519
Total Nacional;05 Canarias;2016T1;2.762
Total Nacional;05 Canarias;2015T4;2.666
Total Nacional;05 Canarias;2015T3;2.075
Total Nacional;05 Canarias;2015T2;1.835
Total Nacional;05 Canarias;2015T1;3.027
Total Nacional;05 Canarias;2014T4;4.393
Total Nacional;05 Canarias;2014T3;2.898
Total Nacional;05 Canarias;2014T2;2.683
Total Nacional;05 Canarias;2014T1;2.225
Total Nacional;05 Canarias;2013T4;4.047
Total Nacional;05 Canarias;2013T3;2.995
Total Nacional;06 Cantabria;2024T4;1.162
Total Nacional;06 Cantabria;2024T3;952
Total Nacional;06 Cantabria;2024T2;2.181
Total Nacional;06 Cantabria;2024T1;1.902
Total Nacional;06 Cantabria;2023T4;567
Total Nacional;06 Cantabria;2023T3;449
Total Nacional;06 Cantabria;2023T2;693
Total Nacional;06 Cantabria;2023T1;1.123
Total Nacional;06 Cantabria;2022T4;1.239
Total Nacional;06 Cantabria;2022T3;408
Total Nacional;06 Cantabria;2022T2;921
Total Nacional;06 Cantabria;2022T1;321
Total Nacional;06 Cantabria;2021T4;374
Total Nacional;06 Cantabria;2021T3;737
Total Nacional;06 Cantabria;2021T2;471
Total Nacional;06 Cantabria;2021T1;359
Total Nacional;06 Cantabria;2020T4;527
Total Nacional;06 Cantabria;2020T3;615
Total Nacional;06 Cantabria;2020T2;651
Total Nacional;06 Cantabria;2020T1;612
Total Nacional;06 Cantabria;2019T4;560
Total Nacional;06 Cantabria;2019T3;943
Total Nacional;06 Cantabria;2019T2;1.066
Total Nacional;06 Cantabria;2019T1;961
Total Nacional;06 Cantabria;2018T4;969
Total Nacional;06 Cantabria;2018T3;597
Total Nacional;06 Cantabria;2018T2;527
Total Nacional;06 Cantabria;2018T1;527
Total Nacional;06 Cantabria;2017T4;587
Total Nacional;06 Cantabria;2017T3;308
Total Nacional;06 Cantabria;2017T2;456
Total Nacional;06 Cantabria;2017T1;517
Total Nacional;06 Cantabria;2016T4;483
Total Nacional;06 Cantabria;2016T3;577
Total Nacional;06 Cantabria;2016T2;724
Total Nacional;06 Cantabria;2016T1;485
Total Nacional;06 Cantabria;2015T4;449
Total Nacional;06 Cantabria;2015T3;249
Total Nacional;06 Cantabria;2015T2;318
Total Nacional;06 Cantabria;2015T1;262
Total Nacional;06 Cantabria;2014T4;478
Total Nacional;06 Cantabria;2014T3;499
Total Nacional;06 Cantabria;2014T2;351
Total Nacional;06 Cantabria;2014T1;290
Total Nacional;06 Cantabria;2013T4;510
Total Nacional;06 Cantabria;2013T3;743
Total Nacional;07 Castilla y León;2024T4;7.469
Total Nacional;07 Castilla y León;2024T3;9.410
Total Nacional;07 Castilla y León;2024T2;10.651
Total Nacional;07 Castilla y León;2024T1;9.581
Total Nacional;07 Castilla y León;2023T4;9.218
Total Nacional;07 Castilla y León;2023T3;12.067
Total Nacional;07 Castilla y León;2023T2;8.877
Total Nacional;07 Castilla y León;2023T1;9.012
Total Nacional;07 Castilla y León;2022T4;12.015
Total Nacional;07 Castilla y León;2022T3;12.750
Total Nacional;07 Castilla y León;2022T2;9.632
Total Nacional;07 Castilla y León;2022T1;8.531
Total Nacional;07 Castilla y León;2021T4;4.661
Total Nacional;07 Castilla y León;2021T3;6.101
Total Nacional;07 Castilla y León;2021T2;5.663
Total Nacional;07 Castilla y León;2021T1;5.719
Total Nacional;07 Castilla y León;2020T4;4.378
Total Nacional;07 Castilla y León;2020T3;4.766
Total Nacional;07 Castilla y León;2020T2;4.058
Total Nacional;07 Castilla y León;2020T1;5.478
Total Nacional;07 Castilla y León;2019T4;5.184
Total Nacional;07 Castilla y León;2019T3;8.436
Total Nacional;07 Castilla y León;2019T2;8.037
Total Nacional;07 Castilla y León;2019T1;5.024
Total Nacional;07 Castilla y León;2018T4;4.293
Total Nacional;07 Castilla y León;2018T3;4.401
Total Nacional;07 Castilla y León;2018T2;4.034
Total Nacional;07 Castilla y León;2018T1;4.830
Total Nacional;07 Castilla y León;2017T4;1.792
Total Nacional;07 Castilla y León;2017T3;3.494
Total Nacional;07 Castilla y León;2017T2;3.012
Total Nacional;07 Castilla y León;2017T1;2.274
Total Nacional;07 Castilla y León;2016T4;2.733
Total Nacional;07 Castilla y León;2016T3;2.529
Total Nacional;07 Castilla y León;2016T2;2.478
Total Nacional;07 Castilla y León;2016T1;2.658
Total Nacional;07 Castilla y León;2015T4;3.349
Total Nacional;07 Castilla y León;2015T3;2.924
Total Nacional;07 Castilla y León;2015T2;2.581
Total Nacional;07 Castilla y León;2015T1;2.171
Total Nacional;07 Castilla y León;2014T4;3.359
Total Nacional;07 Castilla y León;2014T3;2.484
Total Nacional;07 Castilla y León;2014T2;3.373
Total Nacional;07 Castilla y León;2014T1;3.474
Total Nacional;07 Castilla y León;2013T4;2.485
Total Nacional;07 Castilla y León;2013T3;4.283
Total Nacional;08 Castilla - La Mancha;2024T4;3.124
Total Nacional;08 Castilla - La Mancha;2024T3;4.683
Total Nacional;08 Castilla - La Mancha;2024T2;4.203
Total Nacional;08 Castilla - La Mancha;2024T1;4.136
Total Nacional;08 Castilla - La Mancha;2023T4;5.195
Total Nacional;08 Castilla - La Mancha;2023T3;5.864
Total Nacional;08 Castilla - La Mancha;2023T2;4.954
Total Nacional;08 Castilla - La Mancha;2023T1;5.860
Total Nacional;08 Castilla - La Mancha;2022T4;5.670
Total Nacional;08 Castilla - La Mancha;2022T3;3.301
Total Nacional;08 Castilla - La Mancha;2022T2;4.338
Total Nacional;08 Castilla - La Mancha;2022T1;3.589
Total Nacional;08 Castilla - La Mancha;2021T4;4.000
Total Nacional;08 Castilla - La Mancha;2021T3;3.821
Total Nacional;08 Castilla - La Mancha;2021T2;4.684
Total Nacional;08 Castilla - La Mancha;2021T1;3.016
Total Nacional;08 Castilla - La Mancha;2020T4;1.897
Total Nacional;08 Castilla - La Mancha;2020T3;2.032
Total Nacional;08 Castilla - La Mancha;2020T2;1.841
Total Nacional;08 Castilla - La Mancha;2020T1;3.679
Total Nacional;08 Castilla - La Mancha;2019T4;2.022
Total Nacional;08 Castilla - La Mancha;2019T3;2.845
Total Nacional;08 Castilla - La Mancha;2019T2;3.080
Total Nacional;08 Castilla - La Mancha;2019T1;2.707
Total Nacional;08 Castilla - La Mancha;2018T4;3.016
Total Nacional;08 Castilla - La Mancha;2018T3;2.954
Total Nacional;08 Castilla - La Mancha;2018T2;2.850
Total Nacional;08 Castilla - La Mancha;2018T1;3.261
Total Nacional;08 Castilla - La Mancha;2017T4;2.016
Total Nacional;08 Castilla - La Mancha;2017T3;3.532
Total Nacional;08 Castilla - La Mancha;2017T2;2.485
Total Nacional;08 Castilla - La Mancha;2017T1;2.326
Total Nacional;08 Castilla - La Mancha;2016T4;1.448
Total Nacional;08 Castilla - La Mancha;2016T3;2.742
Total Nacional;08 Castilla - La Mancha;2016T2;4.260
Total Nacional;08 Castilla - La Mancha;2016T1;3.404
Total Nacional;08 Castilla - La Mancha;2015T4;1.320
Total Nacional;08 Castilla - La Mancha;2015T3;2.468
Total Nacional;08 Castilla - La Mancha;2015T2;2.394
Total Nacional;08 Castilla - La Mancha;2015T1;2.141
Total Nacional;08 Castilla - La Mancha;2014T4;1.988
Total Nacional;08 Castilla - La Mancha;2014T3;1.861
Total Nacional;08 Castilla - La Mancha;2014T2;1.770
Total Nacional;08 Castilla - La Mancha;2014T1;1.123
Total Nacional;08 Castilla - La Mancha;2013T4;1.100
Total Nacional;08 Castilla - La Mancha;2013T3;1.894
Total Nacional;09 Cataluña;2024T4;28.689
Total Nacional;09 Cataluña;2024T3;27.971
Total Nacional;09 Cataluña;2024T2;25.376
Total Nacional;09 Cataluña;2024T1;28.062
Total Nacional;09 Cataluña;2023T4;26.927
Total Nacional;09 Cataluña;2023T3;31.242
Total Nacional;09 Cataluña;2023T2;30.800
Total Nacional;09 Cataluña;2023T1;29.314
Total Nacional;09 Cataluña;2022T4;26.544
Total Nacional;09 Cataluña;2022T3;29.311
Total Nacional;09 Cataluña;2022T2;29.209
Total Nacional;09 Cataluña;2022T1;32.474
Total Nacional;09 Cataluña;2021T4;24.551
Total Nacional;09 Cataluña;2021T3;24.648
