Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;09 Cataluña;2021T2;27.917
Total Nacional;09 Cataluña;2021T1;17.833
Total Nacional;09 Cataluña;2020T4;16.217
Total Nacional;09 Cataluña;2020T3;17.371
Total Nacional;09 Cataluña;2020T2;12.476
Total Nacional;09 Cataluña;2020T1;21.830
Total Nacional;09 Cataluña;2019T4;19.992
Total Nacional;09 Cataluña;2019T3;23.251
Total Nacional;09 Cataluña;2019T2;22.827
Total Nacional;09 Cataluña;2019T1;22.617
Total Nacional;09 Cataluña;2018T4;17.936
Total Nacional;09 Cataluña;2018T3;19.666
Total Nacional;09 Cataluña;2018T2;24.022
Total Nacional;09 Cataluña;2018T1;25.828
Total Nacional;09 Cataluña;2017T4;18.892
Total Nacional;09 Cataluña;2017T3;17.413
Total Nacional;09 Cataluña;2017T2;19.590
Total Nacional;09 Cataluña;2017T1;17.660
Total Nacional;09 Cataluña;2016T4;15.598
Total Nacional;09 Cataluña;2016T3;14.567
Total Nacional;09 Cataluña;2016T2;13.121
Total Nacional;09 Cataluña;2016T1;13.774
Total Nacional;09 Cataluña;2015T4;10.797
Total Nacional;09 Cataluña;2015T3;14.226
Total Nacional;09 Cataluña;2015T2;13.444
Total Nacional;09 Cataluña;2015T1;13.720
Total Nacional;09 Cataluña;2014T4;10.568
Total Nacional;09 Cataluña;2014T3;11.130
Total Nacional;09 Cataluña;2014T2;10.836
Total Nacional;09 Cataluña;2014T1;10.505
Total Nacional;09 Cataluña;2013T4;10.915
Total Nacional;09 Cataluña;2013T3;15.583
Total Nacional;10 Comunitat Valenciana;2024T4;14.071
Total Nacional;10 Comunitat Valenciana;2024T3;15.207
Total Nacional;10 Comunitat Valenciana;2024T2;16.974
Total Nacional;10 Comunitat Valenciana;2024T1;15.773
Total Nacional;10 Comunitat Valenciana;2023T4;17.311
Total Nacional;10 Comunitat Valenciana;2023T3;17.593
Total Nacional;10 Comunitat Valenciana;2023T2;18.961
Total Nacional;10 Comunitat Valenciana;2023T1;17.143
Total Nacional;10 Comunitat Valenciana;2022T4;14.397
Total Nacional;10 Comunitat Valenciana;2022T3;19.194
Total Nacional;10 Comunitat Valenciana;2022T2;18.133
Total Nacional;10 Comunitat Valenciana;2022T1;15.879
Total Nacional;10 Comunitat Valenciana;2021T4;10.776
Total Nacional;10 Comunitat Valenciana;2021T3;18.640
Total Nacional;10 Comunitat Valenciana;2021T2;12.788
Total Nacional;10 Comunitat Valenciana;2021T1;9.945
Total Nacional;10 Comunitat Valenciana;2020T4;5.148
Total Nacional;10 Comunitat Valenciana;2020T3;8.812
Total Nacional;10 Comunitat Valenciana;2020T2;8.798
Total Nacional;10 Comunitat Valenciana;2020T1;8.547
Total Nacional;10 Comunitat Valenciana;2019T4;7.088
Total Nacional;10 Comunitat Valenciana;2019T3;8.873
Total Nacional;10 Comunitat Valenciana;2019T2;10.456
Total Nacional;10 Comunitat Valenciana;2019T1;8.887
Total Nacional;10 Comunitat Valenciana;2018T4;7.030
Total Nacional;10 Comunitat Valenciana;2018T3;8.204
Total Nacional;10 Comunitat Valenciana;2018T2;10.288
Total Nacional;10 Comunitat Valenciana;2018T1;8.321
Total Nacional;10 Comunitat Valenciana;2017T4;7.586
Total Nacional;10 Comunitat Valenciana;2017T3;9.852
Total Nacional;10 Comunitat Valenciana;2017T2;9.408
Total Nacional;10 Comunitat Valenciana;2017T1;8.935
Total Nacional;10 Comunitat Valenciana;2016T4;4.594
Total Nacional;10 Comunitat Valenciana;2016T3;5.740
Total Nacional;10 Comunitat Valenciana;2016T2;5.582
Total Nacional;10 Comunitat Valenciana;2016T1;6.056
Total Nacional;10 Comunitat Valenciana;2015T4;3.808
Total Nacional;10 Comunitat Valenciana;2015T3;4.666
Total Nacional;10 Comunitat Valenciana;2015T2;3.652
Total Nacional;10 Comunitat Valenciana;2015T1;3.838
Total Nacional;10 Comunitat Valenciana;2014T4;4.704
Total Nacional;10 Comunitat Valenciana;2014T3;5.342
Total Nacional;10 Comunitat Valenciana;2014T2;3.305
Total Nacional;10 Comunitat Valenciana;2014T1;2.533
Total Nacional;10 Comunitat Valenciana;2013T4;2.624
Total Nacional;10 Comunitat Valenciana;2013T3;6.077
Total Nacional;11 Extremadura;2024T4;998
Total Nacional;11 Extremadura;2024T3;1.152
Total Nacional;11 Extremadura;2024T2;1.534
Total Nacional;11 Extremadura;2024T1;2.710
Total Nacional;11 Extremadura;2023T4;930
Total Nacional;11 Extremadura;2023T3;1.239
Total Nacional;11 Extremadura;2023T2;430
Total Nacional;11 Extremadura;2023T1;1.011
Total Nacional;11 Extremadura;2022T4;1.380
Total Nacional;11 Extremadura;2022T3;1.059
Total Nacional;11 Extremadura;2022T2;1.696
Total Nacional;11 Extremadura;2022T1;970
Total Nacional;11 Extremadura;2021T4;979
Total Nacional;11 Extremadura;2021T3;721
Total Nacional;11 Extremadura;2021T2;969
Total Nacional;11 Extremadura;2021T1;1.205
Total Nacional;11 Extremadura;2020T4;660
Total Nacional;11 Extremadura;2020T3;699
Total Nacional;11 Extremadura;2020T2;977
Total Nacional;11 Extremadura;2020T1;1.727
Total Nacional;11 Extremadura;2019T4;903
Total Nacional;11 Extremadura;2019T3;1.084
Total Nacional;11 Extremadura;2019T2;1.037
Total Nacional;11 Extremadura;2019T1;1.412
Total Nacional;11 Extremadura;2018T4;1.744
Total Nacional;11 Extremadura;2018T3;1.513
Total Nacional;11 Extremadura;2018T2;609
Total Nacional;11 Extremadura;2018T1;1.809
Total Nacional;11 Extremadura;2017T4;752
Total Nacional;11 Extremadura;2017T3;839
Total Nacional;11 Extremadura;2017T2;1.692
Total Nacional;11 Extremadura;2017T1;729
Total Nacional;11 Extremadura;2016T4;383
Total Nacional;11 Extremadura;2016T3;606
Total Nacional;11 Extremadura;2016T2;1.011
Total Nacional;11 Extremadura;2016T1;666
Total Nacional;11 Extremadura;2015T4;894
Total Nacional;11 Extremadura;2015T3;866
Total Nacional;11 Extremadura;2015T2;892
Total Nacional;11 Extremadura;2015T1;814
Total Nacional;11 Extremadura;2014T4;599
Total Nacional;11 Extremadura;2014T3;374
Total Nacional;11 Extremadura;2014T2;527
Total Nacional;11 Extremadura;2014T1;976
Total Nacional;11 Extremadura;2013T4;695
Total Nacional;11 Extremadura;2013T3;812
Total Nacional;12 Galicia;2024T4;7.934
Total Nacional;12 Galicia;2024T3;9.093
Total Nacional;12 Galicia;2024T2;7.630
Total Nacional;12 Galicia;2024T1;7.084
Total Nacional;12 Galicia;2023T4;5.581
Total Nacional;12 Galicia;2023T3;6.150
Total Nacional;12 Galicia;2023T2;6.515
Total Nacional;12 Galicia;2023T1;6.929
Total Nacional;12 Galicia;2022T4;4.811
Total Nacional;12 Galicia;2022T3;4.651
Total Nacional;12 Galicia;2022T2;6.016
Total Nacional;12 Galicia;2022T1;3.731
Total Nacional;12 Galicia;2021T4;3.025
Total Nacional;12 Galicia;2021T3;5.077
Total Nacional;12 Galicia;2021T2;3.342
Total Nacional;12 Galicia;2021T1;4.162
Total Nacional;12 Galicia;2020T4;2.993
Total Nacional;12 Galicia;2020T3;3.295
Total Nacional;12 Galicia;2020T2;2.766
Total Nacional;12 Galicia;2020T1;4.173
Total Nacional;12 Galicia;2019T4;4.607
Total Nacional;12 Galicia;2019T3;2.797
Total Nacional;12 Galicia;2019T2;3.664
Total Nacional;12 Galicia;2019T1;4.414
Total Nacional;12 Galicia;2018T4;4.205
Total Nacional;12 Galicia;2018T3;3.117
Total Nacional;12 Galicia;2018T2;3.538
Total Nacional;12 Galicia;2018T1;2.683
Total Nacional;12 Galicia;2017T4;2.045
Total Nacional;12 Galicia;2017T3;3.397
Total Nacional;12 Galicia;2017T2;3.501
Total Nacional;12 Galicia;2017T1;3.486
Total Nacional;12 Galicia;2016T4;2.308
Total Nacional;12 Galicia;2016T3;3.075
Total Nacional;12 Galicia;2016T2;8.332
Total Nacional;12 Galicia;2016T1;4.375
Total Nacional;12 Galicia;2015T4;2.601
Total Nacional;12 Galicia;2015T3;2.391
Total Nacional;12 Galicia;2015T2;2.384
Total Nacional;12 Galicia;2015T1;2.396
Total Nacional;12 Galicia;2014T4;2.202
Total Nacional;12 Galicia;2014T3;1.990
Total Nacional;12 Galicia;2014T2;1.450
Total Nacional;12 Galicia;2014T1;4.325
Total Nacional;12 Galicia;2013T4;2.975
Total Nacional;12 Galicia;2013T3;4.398
Total Nacional;13 Madrid, Comunidad de;2024T4;29.492
Total Nacional;13 Madrid, Comunidad de;2024T3;29.123
Total Nacional;13 Madrid, Comunidad de;2024T2;31.854
Total Nacional;13 Madrid, Comunidad de;2024T1;32.669
Total Nacional;13 Madrid, Comunidad de;2023T4;31.474
Total Nacional;13 Madrid, Comunidad de;2023T3;33.656
Total Nacional;13 Madrid, Comunidad de;2023T2;29.424
Total Nacional;13 Madrid, Comunidad de;2023T1;36.812
Total Nacional;13 Madrid, Comunidad de;2022T4;27.551
Total Nacional;13 Madrid, Comunidad de;2022T3;29.006
Total Nacional;13 Madrid, Comunidad de;2022T2;27.105
Total Nacional;13 Madrid, Comunidad de;2022T1;27.676
Total Nacional;13 Madrid, Comunidad de;2021T4;22.253
Total Nacional;13 Madrid, Comunidad de;2021T3;21.561
Total Nacional;13 Madrid, Comunidad de;2021T2;27.001
Total Nacional;13 Madrid, Comunidad de;2021T1;25.348
Total Nacional;13 Madrid, Comunidad de;2020T4;17.419
Total Nacional;13 Madrid, Comunidad de;2020T3;17.004
Total Nacional;13 Madrid, Comunidad de;2020T2;16.507
Total Nacional;13 Madrid, Comunidad de;2020T1;25.708
Total Nacional;13 Madrid, Comunidad de;2019T4;21.684
Total Nacional;13 Madrid, Comunidad de;2019T3;24.352
Total Nacional;13 Madrid, Comunidad de;2019T2;25.122
Total Nacional;13 Madrid, Comunidad de;2019T1;22.444
Total Nacional;13 Madrid, Comunidad de;2018T4;23.776
Total Nacional;13 Madrid, Comunidad de;2018T3;25.320
Total Nacional;13 Madrid, Comunidad de;2018T2;21.391
Total Nacional;13 Madrid, Comunidad de;2018T1;22.166
Total Nacional;13 Madrid, Comunidad de;2017T4;18.000
Total Nacional;13 Madrid, Comunidad de;2017T3;17.309
Total Nacional;13 Madrid, Comunidad de;2017T2;18.247
Total Nacional;13 Madrid, Comunidad de;2017T1;18.269
Total Nacional;13 Madrid, Comunidad de;2016T4;18.405
Total Nacional;13 Madrid, Comunidad de;2016T3;16.044
Total Nacional;13 Madrid, Comunidad de;2016T2;17.655
Total Nacional;13 Madrid, Comunidad de;2016T1;15.349
Total Nacional;13 Madrid, Comunidad de;2015T4;14.187
Total Nacional;13 Madrid, Comunidad de;2015T3;15.011
Total Nacional;13 Madrid, Comunidad de;2015T2;14.459
Total Nacional;13 Madrid, Comunidad de;2015T1;15.407
Total Nacional;13 Madrid, Comunidad de;2014T4;13.005
Total Nacional;13 Madrid, Comunidad de;2014T3;12.245
Total Nacional;13 Madrid, Comunidad de;2014T2;11.902
Total Nacional;13 Madrid, Comunidad de;2014T1;14.023
Total Nacional;13 Madrid, Comunidad de;2013T4;12.767
Total Nacional;13 Madrid, Comunidad de;2013T3;17.797
Total Nacional;14 Murcia, Región de;2024T4;1.609
Total Nacional;14 Murcia, Región de;2024T3;1.726
Total Nacional;14 Murcia, Región de;2024T2;1.506
Total Nacional;14 Murcia, Región de;2024T1;1.373
Total Nacional;14 Murcia, Región de;2023T4;1.201
Total Nacional;14 Murcia, Región de;2023T3;1.605
Total Nacional;14 Murcia, Región de;2023T2;1.705
Total Nacional;14 Murcia, Región de;2023T1;1.342
Total Nacional;14 Murcia, Región de;2022T4;2.050
Total Nacional;14 Murcia, Región de;2022T3;1.712
Total Nacional;14 Murcia, Región de;2022T2;1.392
Total Nacional;14 Murcia, Región de;2022T1;1.066
Total Nacional;14 Murcia, Región de;2021T4;1.750
Total Nacional;14 Murcia, Región de;2021T3;1.873
Total Nacional;14 Murcia, Región de;2021T2;2.423
Total Nacional;14 Murcia, Región de;2021T1;2.045
Total Nacional;14 Murcia, Región de;2020T4;1.319
Total Nacional;14 Murcia, Región de;2020T3;547
Total Nacional;14 Murcia, Región de;2020T2;932
Total Nacional;14 Murcia, Región de;2020T1;693
Total Nacional;14 Murcia, Región de;2019T4;1.378
Total Nacional;14 Murcia, Región de;2019T3;1.186
Total Nacional;14 Murcia, Región de;2019T2;2.188
Total Nacional;14 Murcia, Región de;2019T1;1.540
Total Nacional;14 Murcia, Región de;2018T4;1.313
Total Nacional;14 Murcia, Región de;2018T3;1.549
Total Nacional;14 Murcia, Región de;2018T2;1.301
Total Nacional;14 Murcia, Región de;2018T1;1.120
Total Nacional;14 Murcia, Región de;2017T4;1.095
Total Nacional;14 Murcia, Región de;2017T3;2.462
Total Nacional;14 Murcia, Región de;2017T2;1.093
Total Nacional;14 Murcia, Región de;2017T1;1.065
Total Nacional;14 Murcia, Región de;2016T4;665
Total Nacional;14 Murcia, Región de;2016T3;1.236
Total Nacional;14 Murcia, Región de;2016T2;1.088
Total Nacional;14 Murcia, Región de;2016T1;1.404
Total Nacional;14 Murcia, Región de;2015T4;1.082
Total Nacional;14 Murcia, Región de;2015T3;1.847
Total Nacional;14 Murcia, Región de;2015T2;1.300
Total Nacional;14 Murcia, Región de;2015T1;1.236
Total Nacional;14 Murcia, Región de;2014T4;976
Total Nacional;14 Murcia, Región de;2014T3;1.214
Total Nacional;14 Murcia, Región de;2014T2;1.216
Total Nacional;14 Murcia, Región de;2014T1;435
Total Nacional;14 Murcia, Región de;2013T4;1.081
Total Nacional;14 Murcia, Región de;2013T3;906
Total Nacional;15 Navarra, Comunidad Foral de;2024T4;2.908
Total Nacional;15 Navarra, Comunidad Foral de;2024T3;3.805
Total Nacional;15 Navarra, Comunidad Foral de;2024T2;3.488
Total Nacional;15 Navarra, Comunidad Foral de;2024T1;3.860
Total Nacional;15 Navarra, Comunidad Foral de;2023T4;3.427
Total Nacional;15 Navarra, Comunidad Foral de;2023T3;3.729
Total Nacional;15 Navarra, Comunidad Foral de;2023T2;3.884
Total Nacional;15 Navarra, Comunidad Foral de;2023T1;3.333
Total Nacional;15 Navarra, Comunidad Foral de;2022T4;2.893
Total Nacional;15 Navarra, Comunidad Foral de;2022T3;4.052
Total Nacional;15 Navarra, Comunidad Foral de;2022T2;3.503
Total Nacional;15 Navarra, Comunidad Foral de;2022T1;3.255
Total Nacional;15 Navarra, Comunidad Foral de;2021T4;3.050
Total Nacional;15 Navarra, Comunidad Foral de;2021T3;2.891
Total Nacional;15 Navarra, Comunidad Foral de;2021T2;2.829
Total Nacional;15 Navarra, Comunidad Foral de;2021T1;2.262
Total Nacional;15 Navarra, Comunidad Foral de;2020T4;2.787
Total Nacional;15 Navarra, Comunidad Foral de;2020T3;2.854
Total Nacional;15 Navarra, Comunidad Foral de;2020T2;2.626
Total Nacional;15 Navarra, Comunidad Foral de;2020T1;2.666
Total Nacional;15 Navarra, Comunidad Foral de;2019T4;2.747
Total Nacional;15 Navarra, Comunidad Foral de;2019T3;2.973
Total Nacional;15 Navarra, Comunidad Foral de;2019T2;2.861
Total Nacional;15 Navarra, Comunidad Foral de;2019T1;3.059
Total Nacional;15 Navarra, Comunidad Foral de;2018T4;3.082
Total Nacional;15 Navarra, Comunidad Foral de;2018T3;3.440
Total Nacional;15 Navarra, Comunidad Foral de;2018T2;3.279
Total Nacional;15 Navarra, Comunidad Foral de;2018T1;2.793
Total Nacional;15 Navarra, Comunidad Foral de;2017T4;2.489
Total Nacional;15 Navarra, Comunidad Foral de;2017T3;2.855
Total Nacional;15 Navarra, Comunidad Foral de;2017T2;2.886
Total Nacional;15 Navarra, Comunidad Foral de;2017T1;2.320
Total Nacional;15 Navarra, Comunidad Foral de;2016T4;1.274
Total Nacional;15 Navarra, Comunidad Foral de;2016T3;2.062
Total Nacional;15 Navarra, Comunidad Foral de;2016T2;659
Total Nacional;15 Navarra, Comunidad Foral de;2016T1;558
Total Nacional;15 Navarra, Comunidad Foral de;2015T4;258
Total Nacional;15 Navarra, Comunidad Foral de;2015T3;406
Total Nacional;15 Navarra, Comunidad Foral de;2015T2;716
Total Nacional;15 Navarra, Comunidad Foral de;2015T1;809
Total Nacional;15 Navarra, Comunidad Foral de;2014T4;353
Total Nacional;15 Navarra, Comunidad Foral de;2014T3;679
Total Nacional;15 Navarra, Comunidad Foral de;2014T2;762
Total Nacional;15 Navarra, Comunidad Foral de;2014T1;469
Total Nacional;15 Navarra, Comunidad Foral de;2013T4;482
Total Nacional;15 Navarra, Comunidad Foral de;2013T3;541
Total Nacional;16 País Vasco;2024T4;8.121
Total Nacional;16 País Vasco;2024T3;4.810
Total Nacional;16 País Vasco;2024T2;6.250
Total Nacional;16 País Vasco;2024T1;4.936
Total Nacional;16 País Vasco;2023T4;4.944
Total Nacional;16 País Vasco;2023T3;5.447
Total Nacional;16 País Vasco;2023T2;5.136
Total Nacional;16 País Vasco;2023T1;4.437
Total Nacional;16 País Vasco;2022T4;5.601
Total Nacional;16 País Vasco;2022T3;5.382
Total Nacional;16 País Vasco;2022T2;5.238
Total Nacional;16 País Vasco;2022T1;5.000
Total Nacional;16 País Vasco;2021T4;2.761
Total Nacional;16 País Vasco;2021T3;2.844
Total Nacional;16 País Vasco;2021T2;3.561
Total Nacional;16 País Vasco;2021T1;2.475
Total Nacional;16 País Vasco;2020T4;3.076
Total Nacional;16 País Vasco;2020T3;3.017
Total Nacional;16 País Vasco;2020T2;2.201
Total Nacional;16 País Vasco;2020T1;5.933
Total Nacional;16 País Vasco;2019T4;3.596
Total Nacional;16 País Vasco;2019T3;4.654
Total Nacional;16 País Vasco;2019T2;4.466
Total Nacional;16 País Vasco;2019T1;5.321
Total Nacional;16 País Vasco;2018T4;6.317
Total Nacional;16 País Vasco;2018T3;6.625
Total Nacional;16 País Vasco;2018T2;5.099
Total Nacional;16 País Vasco;2018T1;6.337
Total Nacional;16 País Vasco;2017T4;4.578
Total Nacional;16 País Vasco;2017T3;4.415
Total Nacional;16 País Vasco;2017T2;4.528
Total Nacional;16 País Vasco;2017T1;4.564
Total Nacional;16 País Vasco;2016T4;3.926
Total Nacional;16 País Vasco;2016T3;3.924
Total Nacional;16 País Vasco;2016T2;3.886
Total Nacional;16 País Vasco;2016T1;2.977
Total Nacional;16 País Vasco;2015T4;4.390
Total Nacional;16 País Vasco;2015T3;2.610
Total Nacional;16 País Vasco;2015T2;3.143
Total Nacional;16 País Vasco;2015T1;2.249
Total Nacional;16 País Vasco;2014T4;1.671
Total Nacional;16 País Vasco;2014T3;2.180
Total Nacional;16 País Vasco;2014T2;2.203
Total Nacional;16 País Vasco;2014T1;2.774
Total Nacional;16 País Vasco;2013T4;1.779
Total Nacional;16 País Vasco;2013T3;2.321
Total Nacional;17 Rioja, La;2024T4;724
Total Nacional;17 Rioja, La;2024T3;407
Total Nacional;17 Rioja, La;2024T2;828
Total Nacional;17 Rioja, La;2024T1;671
Total Nacional;17 Rioja, La;2023T4;560
Total Nacional;17 Rioja, La;2023T3;658
Total Nacional;17 Rioja, La;2023T2;561
Total Nacional;17 Rioja, La;2023T1;521
Total Nacional;17 Rioja, La;2022T4;369
Total Nacional;17 Rioja, La;2022T3;396
Total Nacional;17 Rioja, La;2022T2;598
Total Nacional;17 Rioja, La;2022T1;673
Total Nacional;17 Rioja, La;2021T4;553
Total Nacional;17 Rioja, La;2021T3;562
Total Nacional;17 Rioja, La;2021T2;663
Total Nacional;17 Rioja, La;2021T1;645
Total Nacional;17 Rioja, La;2020T4;400
Total Nacional;17 Rioja, La;2020T3;444
Total Nacional;17 Rioja, La;2020T2;315
Total Nacional;17 Rioja, La;2020T1;483
Total Nacional;17 Rioja, La;2019T4;453
Total Nacional;17 Rioja, La;2019T3;565
Total Nacional;17 Rioja, La;2019T2;901
Total Nacional;17 Rioja, La;2019T1;379
Total Nacional;17 Rioja, La;2018T4;613
Total Nacional;17 Rioja, La;2018T3;531
Total Nacional;17 Rioja, La;2018T2;524
Total Nacional;17 Rioja, La;2018T1;308
Total Nacional;17 Rioja, La;2017T4;365
Total Nacional;17 Rioja, La;2017T3;454
Total Nacional;17 Rioja, La;2017T2;517
Total Nacional;17 Rioja, La;2017T1;519
Total Nacional;17 Rioja, La;2016T4;287
Total Nacional;17 Rioja, La;2016T3;320
Total Nacional;17 Rioja, La;2016T2;683
Total Nacional;17 Rioja, La;2016T1;684
Total Nacional;17 Rioja, La;2015T4;444
Total Nacional;17 Rioja, La;2015T3;330
Total Nacional;17 Rioja, La;2015T2;523
Total Nacional;17 Rioja, La;2015T1;261
Total Nacional;17 Rioja, La;2014T4;117
Total Nacional;17 Rioja, La;2014T3;206
Total Nacional;17 Rioja, La;2014T2;159
Total Nacional;17 Rioja, La;2014T1;596
Total Nacional;17 Rioja, La;2013T4;194
Total Nacional;17 Rioja, La;2013T3;333
